04/01/11 12:22 PM
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.02,79.00,79.00,79.00,0.00,
0.00,6.00,0.02,79.00,79.00,79.00,0.00,
0.00,6.00,0.02,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.05,79.00,79.00,79.00,0.00,
0.00,6.00,-0.05,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.08,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.05,79.00,79.00,79.00,0.00,
0.00,6.00,-0.05,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
