04/01/11 02:09 PM
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
79.00,79.00,79.00,79.00,79.00,79.00,79.00,
1.00,6.00,0.00,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.04,79.00,79.00,79.00,0.00,
1.00,6.00,-0.04,79.00,79.00,79.00,0.00,
1.00,6.00,-0.04,79.00,79.00,79.00,0.00,
1.00,6.00,-0.04,79.00,79.00,79.00,0.00,
1.00,6.00,-0.04,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.04,79.00,79.00,79.00,0.00,
1.00,6.00,-0.04,79.00,79.00,79.00,0.00,
1.00,6.00,-0.04,79.00,79.00,79.00,0.00,
1.00,6.00,-0.03,79.00,79.00,79.00,0.00,
1.00,6.00,-0.03,79.00,79.00,79.00,0.00,
1.00,6.00,-0.03,79.00,79.00,79.00,0.00,
1.00,6.00,-0.02,79.00,79.00,79.00,0.00,
1.00,6.00,-0.02,79.00,79.00,79.00,0.00,
1.00,6.00,-0.02,79.00,79.00,79.00,0.00,
1.00,6.00,-0.02,79.00,79.00,79.00,0.00,
1.00,6.00,-0.02,79.00,79.00,79.00,0.00,
1.00,6.00,-0.02,79.00,79.00,79.00,0.00,
1.00,6.00,-0.02,79.00,79.00,79.00,0.00,
1.00,6.00,-0.03,79.00,79.00,79.00,0.00,
1.00,6.00,-0.02,79.00,79.00,79.00,0.00,
1.00,6.00,-0.02,79.00,79.00,79.00,0.00,
1.00,6.00,-0.01,79.00,79.00,79.00,0.00,
1.00,6.00,-0.02,79.00,79.00,79.00,0.00,
1.00,6.00,-0.03,79.00,79.00,79.00,0.00,
1.00,6.00,-0.03,79.00,79.00,79.00,0.00,
1.00,6.00,-0.04,79.00,79.00,79.00,0.00,
1.00,6.00,-0.03,79.00,79.00,79.00,0.00,
1.00,6.00,-0.03,79.00,79.00,79.00,0.00,
1.00,6.00,-0.04,79.00,79.00,79.00,0.00,
1.00,6.00,-0.04,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.00,
1.00,6.00,-0.07,79.00,79.00,79.00,0.00,
1.00,6.00,-0.08,79.00,79.00,79.00,0.00,
1.00,6.00,-0.08,79.00,79.00,79.00,0.00,
1.00,6.00,-0.07,79.00,79.00,79.00,0.00,
1.00,6.00,-0.08,79.00,79.00,79.00,0.00,
1.00,6.00,-0.09,79.00,79.00,79.00,0.00,
1.00,6.00,-0.08,79.00,79.00,79.00,0.00,
1.00,6.00,-0.08,79.00,79.00,79.00,0.00,
1.00,6.00,-0.08,79.00,79.00,79.00,0.00,
1.00,6.00,-0.08,79.00,79.00,79.00,0.00,
1.00,6.00,-0.08,79.00,79.00,79.00,0.00,
1.00,6.00,-0.10,79.00,79.00,79.00,0.00,
1.00,6.00,-0.12,79.00,79.00,79.00,0.00,
1.00,6.00,-0.13,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.13,79.00,79.00,79.00,0.00,
1.00,6.00,-0.13,79.00,79.00,79.00,0.00,
1.00,6.00,-0.13,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.17,79.00,79.00,79.00,0.00,
1.00,6.00,-0.18,79.00,79.00,79.00,0.00,
1.00,6.00,-0.18,79.00,79.00,79.00,0.00,
1.00,6.00,-0.18,79.00,79.00,79.00,0.00,
1.00,6.00,-0.18,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.16,79.00,79.00,79.00,0.00,
1.00,6.00,-0.15,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.14,79.00,79.00,79.00,0.00,
1.00,6.00,-0.13,79.00,79.00,79.00,0.00,
